,,estimate
A,2015-02-17,0.41
A,2015-05-18,0.39
A,2015-08-17,0.41
A,2015-11-16,0.47
A,2016-02-16,0.43
A,2016-05-16,0.39
A,2016-08-17,0.47
A,2016-11-15,0.52
A,2017-02-14,0.49
A,2017-05-22,0.48
A,2017-08-15,0.52
A,2017-11-20,0.63
A,2018-02-14,0.58
A,2018-05-14,0.65
A,2018-08-14,0.63
A,2018-11-19,0.73
A,2019-02-20,0.73
A,2019-05-14,0.72
A,2019-08-14,0.72
A,2019-11-25,0.86
A,2020-02-18,0.81
A,2020-05-21,0.58
A,2020-08-18,0.66
A,2020-11-23,0.91
A,2021-02-16,0.89
A,2021-05-25,0.82
A,2021-08-17,0.99
A,2021-11-22,1.17
A,2022-02-22,1.17
A,2022-05-24,1.11
A,2022-08-16,1.2
A,2022-11-21,1.39
A,2023-02-28,1.31
A,2023-05-23,1.27
A,2023-08-15,1.37
A,2023-11-20,1.34
A,2024-02-27,1.21
A,2024-05-29,1.19
A,2024-08-21,1.25
A,2024-11-25,1.41
AA,2017-01-24,0.22
AA,2017-04-24,0.55
AA,2017-07-19,0.6
AA,2017-10-18,0.75
AA,2018-01-17,1.23
AA,2018-04-18,0.6
AA,2018-07-18,1.33
AA,2018-10-17,0.25
AA,2019-01-16,0.32
AA,2019-04-17,0.17
AA,2019-07-17,0.34
AA,2019-10-16,0.35
AA,2020-01-15,0.22
AA,2020-04-22,0.29
AA,2020-07-15,0.06
AA,2020-10-14,1.51
AA,2021-01-20,0.15
AA,2021-04-15,0.48
AA,2021-07-15,1.35
AA,2021-10-14,1.85
AA,2022-01-19,2.04
AA,2022-04-20,2.99
AA,2022-07-20,2.6
AA,2022-10-19,0.09
AA,2023-01-18,0.85
AA,2023-04-19,0.05
AA,2023-07-19,0.59
AA,2023-10-18,1.13
AA,2024-01-17,0.99
AA,2024-04-17,0.62
AA,2024-07-17,0.11
AA,2024-10-16,0.23
AA,2025-01-22,0.93
AACG,2015-02-11,
AACG,2015-05-28,
AACG,2015-08-12,
AACG,2015-11-11,
AACG,2016-02-18,
AACG,2016-05-31,
AACG,2016-08-11,
AACG,2016-11-09,
AACG,2017-02-20,
AACG,2017-06-01,
AACG,2017-08-10,
AACG,2017-11-09,
AACG,2018-03-19,
AACG,2018-05-10,
AACG,2018-08-16,
AACG,2018-11-08,
AACG,2019-03-14,
AACG,2019-05-13,
AACG,2019-08-14,
AACG,2019-11-14,
AACG,2020-03-30,
AACG,2020-05-14,
AACG,2020-08-12,
AACG,2020-11-12,
AACG,2021-03-29,
AACG,2021-05-13,
AACG,2021-08-12,
AACG,2021-11-10,
AACG,2022-03-17,
AACG,2022-05-12,
AACG,2022-08-11,
AACG,2022-11-30,
AACG,2023-03-30,
AACG,2023-05-11,
AACG,2023-08-10,
AACG,2023-11-13,
AACG,2024-03-26,
AACG,2024-05-14,
AACG,2024-08-07,
AACG,2024-11-07,
AACT,2024-11-12,
AADI,2018-05-15,0.23
AADI,2018-08-14,0.23
AADI,2018-11-07,0.34
AADI,2019-03-05,0.18
AADI,2019-05-09,0.2
AADI,2019-08-08,0.12
AADI,2019-11-07,0.12
AADI,2020-03-16,0.12
AADI,2020-05-07,0.09
AADI,2020-08-12,0.27
AADI,2020-11-10,0.14
AADI,2021-03-11,0.13
AADI,2021-05-17,0.09
AADI,2021-08-11,0.4
AADI,2021-11-10,0.59
AADI,2022-03-17,
AADI,2022-05-12,0.68
AADI,2022-08-10,0.72
AADI,2022-11-09,0.75
AADI,2023-03-28,0.65
AADI,2023-05-10,0.58
AADI,2023-08-09,0.64
AADI,2023-11-08,0.73
AADI,2024-03-13,0.67
AADI,2024-05-08,0.66
AADI,2024-08-07,0.71
AADI,2024-11-06,0.46
AAL,2015-01-27,1.51
AAL,2015-04-24,1.7
AAL,2015-07-24,2.59
AAL,2015-10-23,2.72
AAL,2016-01-29,1.96
AAL,2016-04-22,1.18
AAL,2016-07-22,1.65
AAL,2016-10-20,1.68
AAL,2017-01-27,0.92
AAL,2017-04-27,0.57
AAL,2017-07-28,1.87
AAL,2017-10-26,1.39
AAL,2018-01-25,0.92
AAL,2018-04-26,0.74
AAL,2018-07-26,1.59
AAL,2018-10-25,1.12
AAL,2019-01-24,1.02
AAL,2019-04-26,0.51
AAL,2019-07-25,1.77
AAL,2019-10-24,1.38
AAL,2020-01-23,1.15
AAL,2020-04-30,2.16
AAL,2020-07-23,6.75
AAL,2020-10-22,5.62
AAL,2021-01-28,3.92
AAL,2021-04-22,4.35
AAL,2021-07-22,1.71
AAL,2021-10-21,1.04
AAL,2022-01-20,1.51
AAL,2022-04-21,2.43
AAL,2022-07-21,0.79
AAL,2022-10-20,0.54
AAL,2023-01-26,1.14
AAL,2023-04-27,0.04
AAL,2023-07-20,1.58
AAL,2023-10-19,0.26
AAL,2024-01-25,0.06
AAL,2024-04-25,0.28
AAL,2024-07-25,1.04
AAL,2024-10-24,0.13
AAL,2025-01-23,0.64
AAME,2015-03-27,
AAME,2015-05-12,
AAME,2015-08-12,
AAME,2015-11-06,
AAME,2016-03-29,
AAME,2016-05-12,
AAME,2016-08-11,
AAME,2016-11-14,
AAME,2017-03-15,
AAME,2017-05-12,
AAME,2017-08-14,
AAME,2017-11-14,
AAME,2018-03-26,
AAME,2018-05-11,
AAME,2018-08-14,
AAME,2018-11-13,
AAME,2019-04-01,
AAME,2019-05-13,
AAME,2019-08-13,
AAME,2019-11-12,
AAME,2020-03-24,
AAME,2020-05-11,
AAME,2020-08-11,
AAME,2020-11-10,
AAME,2021-03-23,
AAME,2021-05-11,
AAME,2021-08-10,
AAME,2021-11-10,
AAME,2022-03-25,
AAME,2022-05-11,
AAME,2022-08-12,
AAME,2022-11-08,
AAME,2023-06-30,
AAME,2023-06-30,
AAME,2023-08-08,
AAME,2023-11-13,
AAME,2024-04-01,
AAME,2024-05-14,
AAME,2024-08-14,
AAME,2024-11-12,
AAMI,2015-02-27,0.3
AAMI,2015-05-14,0.3
AAMI,2015-08-06,0.31
AAMI,2015-11-04,0.3
AAMI,2016-02-04,0.3
AAMI,2016-05-05,0.27
AAMI,2016-08-04,0.29
AAMI,2016-11-02,0.3
AAMI,2017-02-02,0.32
AAMI,2017-05-04,0.34
AAMI,2017-08-03,0.38
AAMI,2017-11-02,0.41
AAMI,2018-02-01,0.4
AAMI,2018-05-03,0.46
AAMI,2018-08-02,0.45
AAMI,2018-11-01,0.45
AAMI,2019-02-07,0.39
AAMI,2019-05-02,0.4
AAMI,2019-08-01,0.45
AAMI,2019-11-05,0.45
AAMI,2020-02-06,0.45
AAMI,2020-05-07,0.36
AAMI,2020-08-06,0.36
AAMI,2020-10-29,0.44
AAMI,2021-02-04,0.43
AAMI,2021-04-29,0.37
AAMI,2021-07-29,0.37
AAMI,2021-10-28,0.28
AAMI,2022-02-03,0.41
AAMI,2022-05-05,0.44
AAMI,2022-07-28,0.36
AAMI,2022-11-03,0.27
AAMI,2023-02-02,0.49
AAMI,2023-05-04,0.29
AAMI,2023-08-03,0.28
AAMI,2023-11-02,0.29
AAMI,2024-02-01,0.58
AAMI,2024-05-02,0.34
AAMI,2024-08-01,0.43
AAMI,2024-10-31,0.52
AAMI,2025-02-06,1.03
AAOI,2015-02-25,0.2
AAOI,2015-05-07,0.02
AAOI,2015-08-05,0.33
AAOI,2015-11-05,0.37
AAOI,2016-02-24,0.28
AAOI,2016-05-09,0.08
AAOI,2016-08-04,0.02
AAOI,2016-11-03,0.22
AAOI,2017-02-23,0.73
AAOI,2017-05-04,0.95
AAOI,2017-08-03,1.29
AAOI,2017-11-07,0.95
AAOI,2018-02-21,0.75
AAOI,2018-05-08,0.23
AAOI,2018-08-07,0.34
AAOI,2018-11-07,0.11
AAOI,2019-02-21,0.16
AAOI,2019-05-08,0.32
AAOI,2019-08-07,0.47
AAOI,2019-11-06,0.36
AAOI,2020-02-27,0.37
AAOI,2020-05-07,0.54
AAOI,2020-08-06,0.37
AAOI,2020-11-05,0.2
AAOI,2021-02-25,0.36
AAOI,2021-05-06,0.42
AAOI,2021-08-05,0.26
AAOI,2021-11-04,0.39
AAOI,2022-02-24,0.33
AAOI,2022-05-05,0.46
AAOI,2022-08-04,0.35
AAOI,2022-11-03,0.34
AAOI,2023-02-23,0.36
AAOI,2023-05-04,0.24
AAOI,2023-08-03,0.32
AAOI,2023-11-09,0.1
AAOI,2024-02-22,0.06
AAOI,2024-05-09,0.36
AAOI,2024-08-06,0.33
AAOI,2024-11-07,0.26
AAON,2015-02-27,0.19
AAON,2015-05-07,0.16
AAON,2015-08-06,0.21
AAON,2015-11-02,0.27
AAON,2016-02-25,0.2
AAON,2016-05-05,0.2
AAON,2016-08-04,
AAON,2016-11-03,0.29
AAON,2017-02-23,0.24
AAON,2017-05-04,0.2
AAON,2017-08-03,0.28
AAON,2017-11-02,0.3
AAON,2018-02-27,0.24
AAON,2018-05-03,0.24
AAON,2018-08-02,0.2
AAON,2018-11-01,0.3
AAON,2019-02-27,0.25
AAON,2019-05-02,0.24
AAON,2019-08-01,0.31
AAON,2019-10-31,0.28
AAON,2020-02-27,0.27
AAON,2020-05-07,0.35
AAON,2020-08-06,0.38
AAON,2020-11-05,
AAON,2021-02-25,0.27
AAON,2021-05-06,0.24
AAON,2021-08-05,0.33
AAON,2021-11-04,0.39
AAON,2022-02-28,0.27
AAON,2022-05-05,0.31
AAON,2022-08-08,0.42
AAON,2022-11-07,0.44
AAON,2023-02-27,0.55
AAON,2023-05-04,0.54
AAON,2023-08-03,0.63
AAON,2023-11-06,0.55
AAON,2024-02-28,0.53
AAON,2024-05-02,0.53
AAON,2024-08-01,0.54
AAON,2024-11-07,0.58
AAP,2015-02-12,1.48
AAP,2015-05-21,2.5
AAP,2015-08-13,2.25
AAP,2015-11-12,2.06
AAP,2016-02-11,1.21
AAP,2016-05-19,2.61
AAP,2016-08-16,2.13
AAP,2016-11-14,1.72
AAP,2017-02-21,1.09
AAP,2017-05-24,2.12
AAP,2017-08-15,1.65
AAP,2017-11-14,1.2
AAP,2018-02-21,0.65
AAP,2018-05-22,1.98
AAP,2018-08-14,1.85
AAP,2018-11-13,1.77
AAP,2019-02-19,1.14
AAP,2019-05-22,2.36
AAP,2019-08-13,2.22
AAP,2019-11-12,2.07
AAP,2020-02-18,1.36
AAP,2020-05-19,1.61
AAP,2020-08-18,1.97
AAP,2020-11-10,2.63
AAP,2021-02-16,1.93
AAP,2021-06-02,3.08
AAP,2021-08-24,2.95
AAP,2021-11-15,2.78
AAP,2022-02-14,1.97
AAP,2022-05-23,3.53
AAP,2022-08-23,3.74
AAP,2022-11-15,3.32
AAP,2023-02-28,2.41
AAP,2023-05-31,2.6
AAP,2023-08-23,1.72
AAP,2023-11-15,1.42
AAP,2024-02-28,0.24
AAP,2024-05-29,0.69
AAP,2024-08-22,0.97
AAP,2024-11-14,0.52
AAPL,2015-01-27,2.6
AAPL,2015-04-27,2.2
AAPL,2015-07-21,1.8
AAPL,2015-10-27,1.88
AAPL,2016-01-26,3.24
AAPL,2016-04-26,1.97
AAPL,2016-07-26,1.39
AAPL,2016-10-25,1.66
AAPL,2017-01-31,3.22
AAPL,2017-05-02,2.02
AAPL,2017-08-01,1.57
AAPL,2017-11-02,1.87
AAPL,2018-02-01,3.82
AAPL,2018-05-01,2.69
AAPL,2018-07-31,2.17
AAPL,2018-11-01,2.79
AAPL,2019-01-29,4.17
AAPL,2019-04-30,2.37
AAPL,2019-07-30,2.1
AAPL,2019-10-30,2.84
AAPL,2020-01-28,4.54
AAPL,2020-04-30,2.09
AAPL,2020-07-30,2.03
AAPL,2020-10-29,0.69
AAPL,2021-01-27,1.41
AAPL,2021-04-28,1.0
AAPL,2021-07-27,1.0
AAPL,2021-10-28,1.24
AAPL,2022-01-27,1.89
AAPL,2022-04-28,1.43
AAPL,2022-07-28,1.14
AAPL,2022-10-27,1.26
AAPL,2023-02-02,1.93
AAPL,2023-05-04,1.44
AAPL,2023-08-03,1.19
AAPL,2023-11-02,1.39
AAPL,2024-02-01,2.09
AAPL,2024-05-02,1.51
AAPL,2024-08-01,1.34
AAPL,2024-10-31,1.49
AAPL,2025-01-30,2.36
AAT,2015-02-17,0.41
AAT,2015-04-28,0.42
AAT,2015-07-28,0.43
AAT,2015-11-03,0.46
AAT,2016-02-16,0.44
AAT,2016-04-26,0.45
AAT,2016-07-26,0.46
AAT,2016-11-01,0.48
AAT,2017-02-14,0.49
AAT,2017-05-02,0.47
AAT,2017-08-01,0.5
AAT,2017-10-31,0.54
AAT,2018-02-13,0.54
AAT,2018-05-01,0.5
AAT,2018-07-31,0.51
AAT,2018-10-30,0.5
AAT,2019-02-12,0.47
AAT,2019-04-30,0.56
AAT,2019-07-30,0.52
AAT,2019-10-29,0.55
AAT,2020-02-11,0.59
AAT,2020-04-28,0.6
AAT,2020-07-28,0.37
AAT,2020-10-27,0.47
AAT,2021-02-09,0.45
AAT,2021-04-27,0.35
AAT,2021-07-27,0.43
AAT,2021-10-26,0.5
AAT,2022-02-08,0.47
AAT,2022-04-26,0.52
AAT,2022-07-26,0.54
AAT,2022-10-25,0.55
AAT,2023-02-07,0.55
AAT,2023-04-25,0.58
AAT,2023-07-25,0.54
AAT,2023-10-24,0.55
AAT,2024-02-06,0.56
AAT,2024-04-30,0.67
AAT,2024-07-30,0.53
AAT,2024-10-29,0.54
AAT,2025-02-04,0.5
AB,2015-02-12,0.51
AB,2015-04-30,0.46
AB,2015-07-30,0.49
AB,2015-10-22,0.43
AB,2016-02-11,0.5
AB,2016-04-28,0.41
AB,2016-07-28,0.44
AB,2016-10-26,0.44
AB,2017-02-14,0.48
AB,2017-04-27,0.44
AB,2017-07-27,0.47
AB,2017-10-25,0.52
AB,2018-02-13,0.66
AB,2018-04-26,0.67
AB,2018-07-26,0.59
AB,2018-10-24,0.62
AB,2019-02-13,0.64
AB,2019-04-25,0.54
AB,2019-07-25,0.58
AB,2019-10-24,0.63
AB,2020-02-12,0.71
AB,2020-04-28,0.63
AB,2020-07-23,0.62
AB,2020-10-22,0.69
AB,2021-02-11,0.83
AB,2021-04-29,0.76
AB,2021-07-29,0.84
AB,2021-10-28,0.86
AB,2022-02-11,1.0
AB,2022-04-29,0.8
AB,2022-07-29,0.7
AB,2022-10-28,0.6
AB,2023-02-08,0.58
AB,2023-04-26,0.63
AB,2023-07-27,0.66
AB,2023-10-26,0.62
AB,2024-02-06,0.64
AB,2024-04-25,0.71
AB,2024-07-26,0.66
AB,2024-10-24,0.73
AB,2025-02-06,0.85
ABAT,2023-11-14,
ABAT,2024-02-14,
ABAT,2024-05-15,0.14
ABAT,2024-09-23,0.13
ABAT,2024-11-14,
ABAT,2025-02-14,
ABBV,2015-01-30,0.85
ABBV,2015-04-23,0.84
ABBV,2015-07-24,1.06
ABBV,2015-10-30,1.07
ABBV,2016-01-29,1.13
ABBV,2016-04-28,1.12
ABBV,2016-07-29,1.2
ABBV,2016-10-28,1.21
ABBV,2017-01-27,1.2
ABBV,2017-04-27,1.26
ABBV,2017-07-28,1.4
ABBV,2017-10-27,1.39
ABBV,2018-01-26,1.44
ABBV,2018-04-26,1.8
ABBV,2018-07-27,1.98
ABBV,2018-11-02,2.01
ABBV,2019-01-25,1.92
ABBV,2019-04-25,2.06
ABBV,2019-07-26,2.21
ABBV,2019-11-01,2.29
ABBV,2020-02-07,2.2
ABBV,2020-05-01,2.27
ABBV,2020-07-31,2.24
ABBV,2020-10-30,2.75
ABBV,2021-02-03,2.85
ABBV,2021-04-30,2.77
ABBV,2021-07-30,3.11
ABBV,2021-10-29,3.23
ABBV,2022-02-02,3.29
ABBV,2022-04-29,3.15
ABBV,2022-07-29,3.42
ABBV,2022-10-28,3.56
ABBV,2023-02-09,3.54
ABBV,2023-04-27,2.44
ABBV,2023-07-27,2.79
ABBV,2023-10-27,2.86
ABBV,2024-02-02,2.76
ABBV,2024-04-26,2.26
ABBV,2024-07-25,2.57
ABBV,2024-10-30,2.92
ABBV,2025-01-31,2.13
ABCB,2015-01-29,0.45
ABCB,2015-04-23,0.39
ABCB,2015-07-24,0.4
ABCB,2015-10-23,0.47
ABCB,2016-01-22,0.52
ABCB,2016-04-22,0.45
ABCB,2016-07-22,0.52
ABCB,2016-10-17,0.59
ABCB,2017-01-20,0.56
ABCB,2017-04-21,0.59
ABCB,2017-07-21,0.65
ABCB,2017-10-19,0.65
ABCB,2018-01-26,0.63
ABCB,2018-04-20,0.78
ABCB,2018-07-27,0.84
ABCB,2018-10-19,0.9
ABCB,2019-01-25,0.93
ABCB,2019-04-23,0.92
ABCB,2019-07-26,0.96
ABCB,2019-10-18,0.95
ABCB,2020-01-23,0.96
ABCB,2020-04-23,0.75
ABCB,2020-07-27,0.6
ABCB,2020-10-22,0.9
ABCB,2021-01-28,1.17
ABCB,2021-04-22,1.12
ABCB,2021-07-22,1.21
ABCB,2021-10-28,1.2
ABCB,2022-01-27,1.16
ABCB,2022-04-26,1.08
ABCB,2022-07-26,1.19
ABCB,2022-10-27,1.34
ABCB,2023-01-26,1.34
ABCB,2023-04-27,1.2
ABCB,2023-07-27,1.12
ABCB,2023-10-26,1.13
ABCB,2024-01-25,1.12
ABCB,2024-04-25,1.06
ABCB,2024-07-25,1.15
ABCB,2024-10-24,1.26
ABCB,2025-01-30,1.2
ABCL,2021-05-13,0.37
ABCL,2021-08-12,0.09
ABCL,2021-11-09,0.05
ABCL,2022-02-24,0.21
ABCL,2022-05-10,0.47
ABCL,2022-08-09,0.04
ABCL,2022-11-08,0.09
ABCL,2023-02-21,0.01
ABCL,2023-05-04,0.12
ABCL,2023-08-03,0.13
ABCL,2023-11-02,0.14
ABCL,2024-02-20,0.14
ABCL,2024-05-07,0.16
ABCL,2024-08-06,0.15
ABCL,2024-11-04,0.14
ABEO,2015-05-14,
ABEO,2015-08-14,0.1
ABEO,2015-11-17,0.11
ABEO,2016-05-16,0.11
ABEO,2016-08-16,0.14
ABEO,2016-11-14,0.17
ABEO,2017-03-31,0.13
ABEO,2017-05-15,0.13
ABEO,2017-07-21,
ABEO,2017-08-15,0.13
ABEO,2017-11-15,0.18
ABEO,2018-03-16,0.13
ABEO,2018-05-11,0.19
ABEO,2018-08-09,0.16
ABEO,2018-11-09,0.23
ABEO,2019-03-18,0.42
ABEO,2019-05-10,0.31
ABEO,2019-08-09,0.39
ABEO,2019-11-12,0.48
ABEO,2020-03-16,0.29
ABEO,2020-05-06,0.21
ABEO,2020-08-10,0.17
ABEO,2020-11-09,0.13
ABEO,2021-03-24,0.09
ABEO,2021-05-18,0.19
ABEO,2021-07-28,0.16
ABEO,2021-11-15,0.16
ABEO,2022-03-31,0.13
ABEO,2022-05-13,0.08
ABEO,2022-08-11,1.25
ABEO,2022-11-14,1.78
ABEO,2023-05-11,0.68
ABEO,2023-08-08,0.66
ABEO,2023-11-13,0.53
ABEO,2024-03-18,0.51
ABEO,2024-05-15,0.47
ABEO,2024-08-12,0.33
ABEO,2024-11-14,0.38
ABEV,2015-02-26,0.13
ABEV,2015-05-06,0.08
ABEV,2015-07-30,0.05
ABEV,2015-10-30,0.06
ABEV,2016-02-25,
ABEV,2016-05-04,
ABEV,2016-07-29,
ABEV,2016-10-28,0.06
ABEV,2017-03-02,0.08
ABEV,2017-05-04,0.05
ABEV,2017-07-27,0.04
ABEV,2017-10-26,0.06
ABEV,2018-03-01,0.1
ABEV,2018-05-09,0.07
ABEV,2018-07-26,0.05
ABEV,2018-10-25,0.05
ABEV,2019-02-28,0.07
ABEV,2019-05-07,0.05
ABEV,2019-07-25,0.04
ABEV,2019-10-25,0.04
ABEV,2020-02-27,0.06
ABEV,2020-05-07,0.04
ABEV,2020-07-30,0.02
ABEV,2020-10-29,0.02
ABEV,2021-02-25,0.05
ABEV,2021-05-06,0.03
ABEV,2021-07-29,0.03
ABEV,2021-10-28,0.03
ABEV,2022-02-24,0.05
ABEV,2022-05-05,0.04
ABEV,2022-07-28,
ABEV,2022-10-27,0.03
ABEV,2023-03-02,0.04
ABEV,2023-05-04,0.04
ABEV,2023-08-03,0.03
ABEV,2023-10-31,0.04
ABEV,2024-02-29,0.05
ABEV,2024-05-08,0.05
ABEV,2024-08-01,0.03
ABEV,2024-10-31,0.04
ABG,2015-02-04,1.01
ABG,2015-04-21,1.18
ABG,2015-07-21,1.43
ABG,2015-10-21,1.41
ABG,2016-02-04,1.37
ABG,2016-04-26,1.33
ABG,2016-07-26,1.64
ABG,2016-10-25,1.62
ABG,2017-02-07,1.43
ABG,2017-04-27,1.49
ABG,2017-07-25,1.67
ABG,2017-10-24,1.57
ABG,2018-02-06,1.6
ABG,2018-04-24,1.83
ABG,2018-07-24,1.95
ABG,2018-10-23,1.85
ABG,2019-02-06,2.07
ABG,2019-04-23,1.92
ABG,2019-07-26,2.27
ABG,2019-10-22,2.35
ABG,2020-02-03,2.35
ABG,2020-05-05,1.61
ABG,2020-07-28,2.47
ABG,2020-10-27,4.02
ABG,2021-02-02,4.18
ABG,2021-04-27,3.58
ABG,2021-07-27,5.3
ABG,2021-10-26,6.48
ABG,2022-02-15,5.86
ABG,2022-04-28,8.92
ABG,2022-07-28,8.88
ABG,2022-10-27,9.19
ABG,2023-02-02,8.23
ABG,2023-04-25,7.94
ABG,2023-07-25,8.15
ABG,2023-10-24,8.44
ABG,2024-02-08,7.74
ABG,2024-04-25,7.78
ABG,2024-08-02,7.31
ABG,2024-10-29,6.65
ABG,2025-01-30,6.07
ABL,2018-02-06,0.03
ABL,2018-05-08,0.15
ABL,2018-08-07,0.17
ABL,2018-11-27,0.14
ABL,2019-02-05,0.01
ABL,2019-05-10,0.11
ABL,2019-08-06,0.13
ABL,2019-11-21,0.18
ABL,2020-02-04,0.0
ABL,2020-05-06,0.11
ABL,2020-08-04,0.07
ABL,2020-11-17,0.19
ABL,2021-02-02,0.01
ABL,2021-05-05,0.1
ABL,2021-08-03,0.17
ABL,2022-02-01,0.06
ABL,2022-05-03,0.15
ABL,2023-08-14,
ABL,2023-11-13,
ABL,2024-03-21,
ABL,2024-05-13,
ABL,2024-08-12,0.13
ABL,2024-11-07,0.14
ABM,2015-03-03,0.37
ABM,2015-06-02,0.35
ABM,2015-09-02,0.49
ABM,2015-12-08,0.54
ABM,2016-03-08,0.26
ABM,2016-09-07,0.39
ABM,2016-12-13,0.51
ABM,2017-03-07,0.33
ABM,2017-06-07,0.43
ABM,2017-09-06,0.53
ABM,2017-12-13,0.46
ABM,2018-03-06,0.28
ABM,2018-06-06,0.45
ABM,2018-09-06,0.54
ABM,2018-12-18,0.57
ABM,2019-03-06,0.27
ABM,2019-06-05,0.41
ABM,2019-09-05,0.58
ABM,2019-12-18,0.62
ABM,2020-03-04,0.31
ABM,2020-06-17,0.27
ABM,2020-09-08,0.4
ABM,2020-12-16,0.72
ABM,2021-03-09,0.61
ABM,2021-06-08,0.75
ABM,2021-09-08,0.8
ABM,2021-12-15,0.8
ABM,2022-03-08,0.79
ABM,2022-06-08,0.84
ABM,2022-09-09,0.91
ABM,2023-03-08,0.77
ABM,2023-06-06,0.86
ABM,2023-09-07,0.88
ABM,2023-12-13,0.93
ABM,2024-03-07,0.72
ABM,2024-06-06,0.78
ABM,2024-09-06,0.85
ABM,2024-12-18,0.86
ABNB,2021-02-25,9.18
ABNB,2021-05-13,1.15
ABNB,2021-08-12,0.47
ABNB,2021-11-04,0.84
ABNB,2022-02-15,0.05
ABNB,2022-05-03,0.28
ABNB,2022-08-02,0.41
ABNB,2022-11-01,1.43
ABNB,2023-02-14,0.27
ABNB,2023-05-09,0.1
ABNB,2023-08-03,0.77
ABNB,2023-11-01,2.08
ABNB,2024-02-13,0.67
ABNB,2024-05-08,0.23
ABNB,2024-08-06,0.92
ABNB,2024-11-07,2.17
ABNB,2025-02-13,0.58
ABOS,2021-08-16,0.23
ABOS,2021-11-15,0.21
ABOS,2022-05-16,
ABOS,2022-08-15,0.24
ABOS,2022-11-14,0.27
ABOS,2023-03-27,0.28
ABOS,2023-05-09,0.33
ABOS,2023-08-08,0.36
ABOS,2023-11-13,0.31
ABOS,2024-03-26,0.29
ABOS,2024-05-14,0.23
ABOS,2024-08-13,0.28
ABOS,2024-11-12,0.36
ABR,2015-02-13,0.1
ABR,2015-05-01,0.11
ABR,2015-07-31,0.19
ABR,2015-11-06,0.25
ABR,2016-02-26,0.15
ABR,2016-05-06,0.12
ABR,2016-08-05,0.12
ABR,2016-11-09,0.16
ABR,2017-03-03,0.2
ABR,2017-05-05,0.19
ABR,2017-08-04,0.2
ABR,2017-11-03,0.18
ABR,2018-02-23,0.2
ABR,2018-05-04,0.22
ABR,2018-08-03,0.26
ABR,2018-11-02,0.34
ABR,2019-02-15,0.26
ABR,2019-05-10,0.26
ABR,2019-08-02,0.27
ABR,2019-11-01,0.32
ABR,2020-02-14,0.29
ABR,2020-05-08,0.3
ABR,2020-07-31,0.27
ABR,2020-10-30,0.34
ABR,2021-02-19,0.34
ABR,2021-05-07,0.4
ABR,2021-07-30,0.35
ABR,2021-10-29,0.36
ABR,2022-02-18,0.39
ABR,2022-05-06,0.42
ABR,2022-07-29,0.42
ABR,2022-11-04,0.44
ABR,2023-02-17,0.46
ABR,2023-05-05,0.42
ABR,2023-07-28,0.46
ABR,2023-10-27,0.47
ABR,2024-02-16,0.46
ABR,2024-05-03,0.42
ABR,2024-08-02,0.43
ABR,2024-11-01,0.4
ABSI,2021-09-07,2.32
ABSI,2021-11-09,0.21
ABSI,2022-03-22,0.23
ABSI,2022-05-11,0.29
ABSI,2022-08-11,0.32
ABSI,2022-11-09,0.27
ABSI,2023-03-30,0.24
ABSI,2023-05-15,0.24
ABSI,2023-08-14,0.24
ABSI,2023-11-14,0.23
ABSI,2024-03-21,0.23
ABSI,2024-05-14,0.19
ABSI,2024-08-14,0.19
ABSI,2024-11-12,0.19
ABT,2015-01-29,0.68
ABT,2015-04-22,0.42
ABT,2015-07-22,0.5
ABT,2015-10-21,0.53
ABT,2016-01-28,0.61
ABT,2016-04-20,0.39
ABT,2016-07-20,0.53
ABT,2016-10-19,0.58
ABT,2017-01-25,0.64
ABT,2017-04-19,0.43
ABT,2017-07-20,0.6
ABT,2017-10-18,0.65
ABT,2018-01-24,0.73
ABT,2018-04-18,0.58
ABT,2018-07-18,0.71
ABT,2018-10-17,0.74
ABT,2019-01-23,0.81
ABT,2019-04-17,0.61
ABT,2019-07-17,0.8
ABT,2019-10-16,0.84
ABT,2020-01-22,0.95
ABT,2020-04-16,0.55
ABT,2020-07-16,0.43
ABT,2020-10-21,0.9
ABT,2021-01-27,1.36
ABT,2021-04-20,1.33
ABT,2021-07-22,1.01
ABT,2021-10-20,0.92
ABT,2022-01-26,1.18
ABT,2022-04-20,1.47
ABT,2022-07-20,1.09
ABT,2022-10-19,0.9
ABT,2023-01-25,0.9
ABT,2023-04-19,0.98
ABT,2023-07-20,1.04
ABT,2023-10-18,1.1
ABT,2024-01-24,1.19
ABT,2024-04-17,0.96
ABT,2024-07-18,1.1
ABT,2024-10-16,1.2
ABT,2025-01-22,1.34
ABTS,2016-02-22,
ABTS,2016-05-16,
ABTS,2016-12-22,
ABTS,2017-02-13,0.03
ABTS,2017-05-12,
ABTS,2017-08-04,
ABTS,2018-02-14,
ABTS,2018-05-15,
ABTS,2018-08-14,
ABTS,2019-01-15,
ABTS,2019-02-19,
ABTS,2019-05-15,
ABTS,2019-08-14,
ABTS,2020-01-14,
ABTS,2020-04-20,
ABTS,2020-05-15,
ABTS,2020-08-14,
ABTS,2021-02-16,
ABTS,2021-05-17,
ABTS,2021-08-13,
ABUS,2015-03-12,0.32
ABUS,2015-05-06,0.39
ABUS,2015-08-05,0.25
ABUS,2015-11-05,0.31
ABUS,2016-03-09,0.39
ABUS,2016-05-04,0.37
ABUS,2016-08-04,0.35
